DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/arrays/boolean.py first seen with mtime 1688741984.880787
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/httpcore/_sync/interfaces.py first seen with mtime 1696600633.3966951
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/arrays/datetimes.py first seen with mtime 1688741984.8841598
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/importlib/abc.py first seen with mtime 1696953087.4816587
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/asyncio/format_helpers.py first seen with mtime 1696953088.061267
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/io/sas/__init__.py first seen with mtime 1688741985.2027638
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/views/defaults.py first seen with mtime 1698832925.8567038
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1698832925.7527027
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/hpack/table.py first seen with mtime 1597493598.0
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/mysql/connector/errorcode.py first seen with mtime 1686439380.5205064
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/compat/compressors.py first seen with mtime 1688741984.7826846
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/reprlib.py first seen with mtime 1696953083.0478556
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/test/client.py first seen with mtime 1698832925.8247035
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1698832925.6607018
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/template/defaulttags.py first seen with mtime 1698832925.8087034
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/asyncio/subprocess.py first seen with mtime 1696953088.1270416
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/sqlparse/filters/__init__.py first seen with mtime 1681817740.592449
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/utils/timesince.py first seen with mtime 1698832925.8487039
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/utils/connection.py first seen with mtime 1698832925.8327036
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/urls/base.py first seen with mtime 1698832925.8247035
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/test/__init__.py first seen with mtime 1698832925.8167033
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/db/migrations/migration.py first seen with mtime 1698832925.7247026
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/db/models/aggregates.py first seen with mtime 1698832925.7287025
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/utils/translation/__init__.py first seen with mtime 1698832925.8487039
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/db/models/functions/comparison.py first seen with mtime 1698832925.7487028
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/email/policy.py first seen with mtime 1696953088.982756
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/ops/__init__.py first seen with mtime 1688741985.0443277
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/_libs/window/indexers.cpython-38-darwin.so first seen with mtime 1688742038.4733868
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/numpy/lib/histograms.py first seen with mtime 1687809059.8717868
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/dns/_asyncbackend.py first seen with mtime 1697529879.1374834
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/core/serializers/__init__.py first seen with mtime 1698832925.680702
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/dateutil/parser/_parser.py first seen with mtime 1626286447.0
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/sqlparse/filters/tokens.py first seen with mtime 1681817740.592449
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/lzma.py first seen with mtime 1696953082.9359956
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/tokenize.py first seen with mtime 1696953083.1722105
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/core/files/storage/__init__.py first seen with mtime 1698832925.6607018
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/numpy/random/_bounded_integers.cpython-38-darwin.so first seen with mtime 1687809082.9778044
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/db/models/sql/constants.py first seen with mtime 1698832925.7527027
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/sqlparse/utils.py first seen with mtime 1681817740.5884488
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/core/handlers/__init__.py first seen with mtime 1698832925.664702
DEBUG 2023-11-05 09:46:05,382 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/contrib/messages/constants.py first seen with mtime 1698832925.4687
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/lib-dynload/_heapq.cpython-38-darwin.so first seen with mtime 1696953127.5480475
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/importlib/resources.py first seen with mtime 1696953087.4907737
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/computation/scope.py first seen with mtime 1688741984.9272513
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/groupby/base.py first seen with mtime 1688741984.947853
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/hpack/hpack.py first seen with mtime 1597493598.0
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1698832925.5567007
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/io/sql.py first seen with mtime 1688741985.1177642
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/numpy/core/overrides.py first seen with mtime 1687809059.276248
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/db/models/functions/__init__.py first seen with mtime 1698832925.7487028
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/urls/resolvers.py first seen with mtime 1698832925.8327036
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/rest_framework/response.py first seen with mtime 1663854284.0
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/numpy/lib/_datasource.py first seen with mtime 1687809059.8440144
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/http/cookies.py first seen with mtime 1696953089.5296552
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/core/management/color.py first seen with mtime 1698832925.676702
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/db/backends/mysql/__init__.py first seen with mtime 1698832925.7007022
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/datetime.py first seen with mtime 1696953082.83068
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/httpcore/_async/http2.py first seen with mtime 1696600633.3966951
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1698832925.6567018
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/db/migrations/utils.py first seen with mtime 1698832925.7287025
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/email/base64mime.py first seen with mtime 1696953088.9453216
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/indexers/objects.py first seen with mtime 1688741984.96649
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/contrib/admin/actions.py first seen with mtime 1698832924.9766948
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/views/generic/detail.py first seen with mtime 1698832925.864704
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/_libs/tslib.cpython-38-darwin.so first seen with mtime 1688742034.341883
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pytz/tzinfo.py first seen with mtime 1693930440.2691224
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/utils/log.py first seen with mtime 1698832925.8407037
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/core/files/base.py first seen with mtime 1698832925.6607018
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/io/stata.py first seen with mtime 1688741985.119169
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/numpy/lib/arraypad.py first seen with mtime 1687809059.8539977
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/io/html.py first seen with mtime 1688741985.1095176
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/db/models/indexes.py first seen with mtime 1698832925.7367027
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/wsgiref/util.py first seen with mtime 1696953089.7487698
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/numpy/core/_methods.py first seen with mtime 1687809059.174098
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/contrib/sites/__init__.py first seen with mtime 1698832925.6047013
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/utils/_os.py first seen with mtime 1698832925.8327036
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/rest_framework/relations.py first seen with mtime 1663854284.0
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/codecs.py first seen with mtime 1696953082.7929976
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/arrays/sparse/array.py first seen with mtime 1688741984.908389
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/lib-dynload/_sqlite3.cpython-38-darwin.so first seen with mtime 1696953126.3199515
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/arrays/numpy_.py first seen with mtime 1688741984.889401
